Historical,C1,C2,C3,C4,AllC
1,0,1,1,1,0.75
1,1,0,1,1,0.75
1,1,1,0,1,0.75
1,1,1,1,0,0.75
0,3.29,3.26,3.39,3.33,3.315903466
0,3.43,3.53,3.40,3.42,3.444169216
0,3.32,3.35,3.32,3.29,3.321488194
Historical,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Even All Clusters
