AGEB_ID,GRAPROES_C,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
3872,7.73,98.79227053,36.52430044,36,0.06,0.862,0.034,0.032
3873,7.84,99.32627526,41.54457412,36,0.075,0.953,0.082,0.032
3874,7.79,99.10179641,39.42568879,36,0.067,0.922,0.058,0.032
3875,8.15,96.76470588,43.68815592,36,0.13,0.512,0.109,0.032
3876,7.91,97.28793999,37.16989773,36,0.088,0.58,0.038,0.032
3878,8.31,99.1576414,37.43589744,36,0.167,0.932,0.04,0.032
3879,7.96,100,39.28571429,36,0.094,0.992,0.056,0.032
3881,7.91,97.81491003,31.94216234,36,0.088,0.667,0.015,0.032
3883,7.93,99.49186992,41.90400844,36,0.092,0.971,0.085,0.032
3884,7.83,99.02200489,41.09263658,36,0.073,0.906,0.077,0.032
3885,7.62,97.14673913,44.17394224,36,0.05,0.56,0.117,0.032
3886,7.92,98.72611465,46.02222614,36,0.09,0.846,0.148,0.032
3887,8.16,98.41656516,40.59887521,36,0.131,0.781,0.071,0.032
3888,7.86,97.92332268,41.30962005,36,0.079,0.684,0.08,0.032
3889,7.8,99.05561385,41.15964639,36,0.067,0.912,0.078,0.032
3890,8.09,99.38499385,39.32275778,36,0.117,0.96,0.056,0.032
3891,7.99,98.58156028,40.78718217,36,0.1,0.817,0.074,0.032
3892,8.08,98.37728195,42.28629236,36,0.115,0.774,0.088,0.032
3893,8.1,99.34210526,39.14590747,36,0.118,0.956,0.054,0.032
3894,8.21,78.88493476,37.94668179,36,0.144,0.098,0.044,0.032
3896,7.73,97.07446809,45.79617834,36,0.06,0.549,0.143,0.032
3897,8.09,98.90710383,43.24886536,36,0.117,0.885,0.104,0.032
3898,8.03,98.17232376,34.3849015,36,0.107,0.728,0.024,0.032
3899,7.89,88.14616756,37.20190779,36,0.085,0.159,0.038,0.032
3902,8.29,99.57446809,41.11994698,36,0.162,0.977,0.078,0.032
3903,8.21,98.00853485,37.79499824,36,0.144,0.701,0.042,0.032
3906,7.91,99.57035446,40.16725798,36,0.088,0.976,0.067,0.032
3907,8.03,98.97959184,39.37213865,36,0.107,0.901,0.057,0.032
3908,7.75,99.68186638,41.09042553,36,0.063,0.984,0.077,0.032
3909,7.58,98.97377423,42.84890427,36,0.044,0.9,0.099,0.032
3910,8.11,96.71163575,36.74698795,36,0.121,0.505,0.036,0.032
3911,7.84,94.80712166,40.02177068,36,0.075,0.343,0.063,0.032
3912,8.36,98.60583016,39.71848225,36,0.176,0.821,0.06,0.032
3914,8.16,98.46153846,45.52669553,36,0.131,0.789,0.138,0.032
3915,8.29,96.91211401,40.71100917,36,0.162,0.524,0.073,0.032
3917,8.03,98.23434992,37.73359841,36,0.107,0.739,0.042,0.032
3918,7.69,98.3935743,41.86483104,36,0.053,0.777,0.084,0.032
3919,7.69,99.45945946,37.57491011,36,0.053,0.967,0.041,0.032
3920,7.72,98.30508475,36.47058824,36,0.058,0.757,0.034,0.032
3921,8.32,99.41520468,39.45707071,36,0.17,0.964,0.058,0.032
3922,8.29,99.1,40.52238806,36,0.162,0.921,0.07,0.032
3923,8.17,98.56915739,41.62314182,36,0.133,0.815,0.083,0.032
3924,8.16,81.13207547,31.18796029,36,0.131,0.105,0.013,0.032
3926,8.49,92.97124601,41.45383104,36,0.207,0.262,0.081,0.032
3928,8.19,95.88744589,40.97274792,36,0.138,0.418,0.075,0.032
3929,7.66,98.08102345,43.66640441,36,0.052,0.713,0.108,0.032
3930,7.86,97.92576419,44.75696341,36,0.079,0.685,0.125,0.032
3931,7.6,97.60087241,40.7964135,36,0.048,0.631,0.074,0.032
3932,7.91,90.90909091,38.94282632,36,0.088,0.207,0.052,0.032
3933,8.27,95.55984556,42.30769231,36,0.157,0.392,0.088,0.032
3934,7.7,95.24456522,42.48159832,36,0.055,0.371,0.091,0.032
3936,8.57,98.51951548,39.26630435,36,0.222,0.805,0.056,0.032
3937,8.34,99.02386117,42.81744929,36,0.171,0.906,0.098,0.032
3939,7.92,98.76352396,43.67065651,36,0.09,0.855,0.109,0.032
3940,8.43,99.54198473,40.32744507,36,0.191,0.974,0.067,0.032
3942,8.13,98.94736842,44.67046379,36,0.126,0.894,0.123,0.032
3943,8.9,99.57865169,52.19683656,36,0.289,0.977,0.282,0.032
3944,8.48,99.01185771,50.89514066,36,0.204,0.905,0.246,0.032
3946,10.16,94.1826215,65.26035728,36,0.602,0.312,0.668,0.032
3947,5.42,13.7254902,19.31818182,36,0.001,0.034,0.004,0.032
3948,8.27,98.25870647,46.00827912,36,0.157,0.748,0.147,0.032
3949,9.28,89.48598131,55.13513514,36,0.393,0.183,0.359,0.032
3950,8.12,98.5940246,37.06149402,36,0.124,0.818,0.037,0.032
3951,8.05,99.35897436,39.84857541,36,0.11,0.956,0.061,0.032
3952,7.89,96.96132597,37.8413952,36,0.085,0.532,0.043,0.032
3955,7.84,98.82198953,40.52993131,36,0.075,0.869,0.07,0.032
3958,8.19,98.75621891,40.58013478,36,0.138,0.853,0.071,0.032
3959,8.4,98.35164835,43.38483824,36,0.184,0.767,0.105,0.032
3961,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan
3964,9.68,94.245142,62.71610081,36,0.497,0.315,0.579,0.032
3966,9.56,94.67455621,76.99439414,72.44744,0.467,0.334,0.978,0.879
3968,11.67,96.91489362,76.35861222,72.44744,0.8,0.525,0.973,0.879
3969,10.69,98.01071155,79.19799499,72.44744,0.696,0.701,0.985,0.879
3970,11.93,94.78445982,72.1071087,72.44744,0.817,0.341,0.908,0.879
3971,11.35,98.25102881,69.81552163,72.44744,0.777,0.745,0.849,0.879
3972,12.27,94.12878788,67.7607362,72.44744,0.834,0.307,0.773,0.879
3975,13.91,97.42120344,72.36958444,76,0.955,0.6,0.916,0.902
3976,13.37,90.01741149,62.16585366,76,0.909,0.191,0.56,0.902
3977,10.23,94.39501779,65.25558131,76,0.624,0.321,0.668,0.902
