Cluster,GRAPROES,VPH_AGUADV_%,PDER_SS_%,ARR_LBIEN_%,Education (percentile),Water (percentile),Health (percentile),Poverty (percentile)
97,7.529244691,752.9244691,34.65879794,63.06266578,0.039,0.636,0.039,0.601
98,11.79162695,1179.162695,65.84932998,58,0.81,0.726,0.736,0.472
99,9.724959815,972.4959815,57.57039354,40,0.592,0.398,0.502,0.069
100,8.511692156,851.1692156,51.21267317,64.82652435,0.263,0.97,0.358,0.686
101,10.11633619,1011.633619,65.86343378,68.73953879,0.691,0.646,0.741,0.8
102,8.340279183,834.0279183,38.60130776,54,0.213,0.452,0.074,0.343
103,11.08638666,1108.638666,92.45542939,69.59432,0.776,0.985,0.995,0.855
104,13.45568123,1345.568123,64.22388385,70.64083521,0.91,0.298,0.661,0.87
105,8.425205841,842.5205841,46.91935901,39.85765998,0.243,0.442,0.213,0.059
106,12.19164488,1219.164488,71.41946262,71.70329063,0.835,0.517,0.885,0.88
107,8.342653364,834.2653364,59.04089802,57.99048457,0.218,0.741,0.547,0.452
108,12.8606271,1286.06271,73.03037792,78,0.87,0.238,0.93,0.95
109,13.33416216,1333.416216,77.37209651,64.89479351,0.9,0.611,0.97,0.691
110,8.828632176,882.8632176,46.98507731,40.09818817,0.333,0.353,0.223,0.089
111,12.00952903,1200.952903,61.61053844,54.62803817,0.825,0.582,0.611,0.378
112,9.743802037,974.3802037,70.45093769,53.00009888,0.601,0.885,0.845,0.268
113,13.95481918,1395.481918,70.47865559,63.05368,0.96,0.661,0.85,0.587
114,7.663182477,766.3182477,42.30947993,33.00718261,0.049,0.119,0.124,0.024
115,8.932087061,893.2087061,64.98310749,49,0.368,0.427,0.706,0.194
116,12.54288068,1254.288068,66.43159881,63.92754342,0.845,0.527,0.751,0.636
117,12.70909523,1270.909523,67.11178698,64.09746752,0.865,0.507,0.766,0.661
118,8.040560916,804.0560916,28.63435918,40.35211924,0.119,0.094,0.009,0.094
119,8.077266144,807.7266144,44.61922175,62,0.129,0.567,0.169,0.497
120,14.37601869,1437.601869,71.95343343,76,0.985,0.447,0.905,0.9
